fmun_cod;fmun;ano;mes;mes_ano;regiao;roubo_veiculo;furto_veiculos;recuperacao_veiculos
3300100;Angra dos Reis;2024;1;2024m01;Interior;3;2;2
3300159;Aperibé;2024;1;2024m01;Interior;0;0;0
3300209;Araruama;2024;1;2024m01;Interior;5;10;5
3300225;Areal;2024;1;2024m01;Interior;0;0;0
3300233;Armação dos Búzios;2024;1;2024m01;Interior;1;4;2
3300258;Arraial do Cabo;2024;1;2024m01;Interior;1;1;1
3300308;Barra do Piraí;2024;1;2024m01;Interior;0;0;2
3300407;Barra Mansa;2024;1;2024m01;Interior;2;6;2
3300456;Belford Roxo;2024;1;2024m01;Baixada Fluminense;97;31;46
3300506;Bom Jardim;2024;1;2024m01;Interior;0;1;1
3300605;Bom Jesus do Itabapoana;2024;1;2024m01;Interior;0;1;4
3300704;Cabo Frio;2024;1;2024m01;Interior;5;24;15
3300803;Cachoeiras de Macacu;2024;1;2024m01;Interior;1;2;0
3300902;Cambuci;2024;1;2024m01;Interior;0;0;0
3300936;Carapebus;2024;1;2024m01;Interior;0;0;0
3300951;Comendador Levy Gasparian;2024;1;2024m01;Interior;0;0;0
3301009;Campos dos Goytacazes;2024;1;2024m01;Interior;8;17;13
3301108;Cantagalo;2024;1;2024m01;Interior;0;0;0
3301157;Cardoso Moreira;2024;1;2024m01;Interior;0;0;0
3301207;Carmo;2024;1;2024m01;Interior;0;0;0
3301306;Casimiro de Abreu;2024;1;2024m01;Interior;0;0;1
3301405;Conceição de Macabu;2024;1;2024m01;Interior;1;0;0
3301504;Cordeiro;2024;1;2024m01;Interior;0;0;1
3301603;Duas Barras;2024;1;2024m01;Interior;0;0;0
3301702;Duque de Caxias;2024;1;2024m01;Baixada Fluminense;230;70;151
3301801;Engenheiro Paulo de Frontin;2024;1;2024m01;Interior;0;0;0
3301850;Guapimirim;2024;1;2024m01;Baixada Fluminense;1;3;1
3301876;Iguaba Grande;2024;1;2024m01;Interior;1;3;5
3301900;Itaboraí;2024;1;2024m01;Interior;14;12;10
3302007;Itaguaí;2024;1;2024m01;Baixada Fluminense;16;10;12
3302056;Italva;2024;1;2024m01;Interior;0;0;0
3302106;Itaocara;2024;1;2024m01;Interior;0;0;0
3302205;Itaperuna;2024;1;2024m01;Interior;0;0;0
3302254;Itatiaia;2024;1;2024m01;Interior;0;0;0
3302270;Japeri;2024;1;2024m01;Baixada Fluminense;2;4;4
3302304;Laje do Muriaé;2024;1;2024m01;Interior;0;0;0
3302403;Macaé;2024;1;2024m01;Interior;3;5;4
3302452;Macuco;2024;1;2024m01;Interior;0;0;0
3302502;Magé;2024;1;2024m01;Baixada Fluminense;12;27;5
3302601;Mangaratiba;2024;1;2024m01;Interior;1;8;5
3302700;Maricá;2024;1;2024m01;Grande Niterói;5;17;8
3302809;Mendes;2024;1;2024m01;Interior;0;1;0
3302858;Mesquita;2024;1;2024m01;Baixada Fluminense;21;27;13
3302908;Miguel Pereira;2024;1;2024m01;Interior;0;0;3
3303005;Miracema;2024;1;2024m01;Interior;0;0;0
3303104;Natividade;2024;1;2024m01;Interior;0;0;0
3303203;Nilópolis;2024;1;2024m01;Baixada Fluminense;32;23;8
3303302;Niterói;2024;1;2024m01;Grande Niterói;20;57;21
3303401;Nova Friburgo;2024;1;2024m01;Interior;0;5;8
3303500;Nova Iguaçu;2024;1;2024m01;Baixada Fluminense;126;89;57
3303609;Paracambi;2024;1;2024m01;Baixada Fluminense;4;1;0
3303708;Paraíba do Sul;2024;1;2024m01;Interior;0;1;1
3303807;Paraty;2024;1;2024m01;Interior;1;0;0
3303856;Paty do Alferes;2024;1;2024m01;Interior;0;1;0
3303906;Petrópolis;2024;1;2024m01;Interior;1;7;6
3303955;Pinheiral;2024;1;2024m01;Interior;0;1;1
3304003;Piraí;2024;1;2024m01;Interior;0;6;3
3304102;Porciúncula;2024;1;2024m01;Interior;0;0;0
3304110;Porto Real;2024;1;2024m01;Interior;0;0;1
3304128;Quatis;2024;1;2024m01;Interior;0;0;0
3304144;Queimados;2024;1;2024m01;Baixada Fluminense;6;13;2
3304151;Quissamã;2024;1;2024m01;Interior;1;0;1
3304201;Resende;2024;1;2024m01;Interior;0;3;3
3304300;Rio Bonito;2024;1;2024m01;Interior;3;6;1
3304409;Rio Claro;2024;1;2024m01;Interior;1;0;1
3304508;Rio das Flores;2024;1;2024m01;Interior;0;0;0
3304524;Rio das Ostras;2024;1;2024m01;Interior;3;16;7
3304557;Rio de Janeiro;2024;1;2024m01;Capital;1085;748;623
3304607;Santa Maria Madalena;2024;1;2024m01;Interior;0;0;0
3304706;Santo Antônio de Pádua;2024;1;2024m01;Interior;0;1;1
3304755;São Francisco de Itabapoana;2024;1;2024m01;Interior;0;3;0
3304805;São Fidélis;2024;1;2024m01;Interior;0;1;1
3304904;São Gonçalo;2024;1;2024m01;Grande Niterói;68;87;44
3305000;São João da Barra;2024;1;2024m01;Interior;1;1;1
3305109;São João de Meriti;2024;1;2024m01;Baixada Fluminense;63;41;37
3305133;São José de Ubá;2024;1;2024m01;Interior;0;0;0
3305158;São José do Vale do Rio Preto;2024;1;2024m01;Interior;0;1;1
3305208;São Pedro da Aldeia;2024;1;2024m01;Interior;2;8;2
3305307;São Sebastião do Alto;2024;1;2024m01;Interior;0;0;0
3305406;Sapucaia;2024;1;2024m01;Interior;0;0;0
3305505;Saquarema;2024;1;2024m01;Interior;1;8;3
3305554;Seropédica;2024;1;2024m01;Baixada Fluminense;10;6;8
3305604;Silva Jardim;2024;1;2024m01;Interior;2;0;3
3305703;Sumidouro;2024;1;2024m01;Interior;0;1;1
3305752;Tanguá;2024;1;2024m01;Interior;1;3;4
3305802;Teresópolis;2024;1;2024m01;Interior;0;8;2
3305901;Trajano de Moraes;2024;1;2024m01;Interior;0;0;1
3306008;Três Rios;2024;1;2024m01;Interior;0;1;1
3306107;Valença;2024;1;2024m01;Interior;0;1;1
